ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
scus,South Cushitic,,,,,
afas,Afro-Asiatic,,,,afro1255,
afsm,Semitic,,,,semi1276,
berb,Berber,,,,,
bium,Biu-Mandara Branch,,,,,
echa,East,,,,,
elx,Elamite,,,,elam1244,
emsa,Eastern MSA,,,,,
gnc,Guanche,,,,guan1277,
guan,Guanche,,,,,
magh,Maghrebine,,,,,
masa,Masa Group,,,,,
mlt,Maltese,,,,malt1254,
nilc,Nilotischen Sprachen,,,,,
nubn,Nubian,,,,,
sqt,Soqoṭri,,,,soqo1240,
furr,Fur,,,,,
shu,"Arabic, Chadian Spoken",,,,chad1249,
shu-bat,Batha,,,,,
wcha,West Chadic,,,,,
kie,Kibeet,,,,kibe1241,
rou,Runga,,,,rung1258,
akan,Akan,,,,akan1250,
fula,Fula,,,,,
gbex,Gbe,,,,,
haus,Hausa,,,,,
song,Songhay,,,,,
wolf,Wolof,,,,,
yor,Yariba,,,,yoru1245,
